id,name,task_id,title,supported,status,batch,owned_count,publication_count,dossier
P01,ParallelSectorAgentApr2,datausa-sector61-state,sector,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P01.json
P02,SectorAgentJun20X,datausa-sector61-state,sector,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P02.json
P03,SectorAgentJun15,datausa-sector61-state,sector,True,supported,,5,5,trajectory-explorer/public/data/assembled-trajectories/P03.json
P04,AgentResearchMay24,datausa-sector61-state,sector,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P04.json
P05,SectorAgentMay24OAI,datausa-sector61-state,sector,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P05.json
P06,ClothingSequenceScout,datausa-clothing-workforce,clothing,True,supported,,3,3,trajectory-explorer/public/data/assembled-trajectories/P06.json
P07,ResearchAgentOpenAIJan12,datausa-clothing-workforce,clothing,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P07.json
P08,OpenAIResearcherAug08,datausa-clothing-workforce,clothing,True,supported,,10,10,trajectory-explorer/public/data/assembled-trajectories/P08.json
P09,DataUSAResearchHelperMay24,datausa-clothing-workforce,clothing,True,supported,,14,14,trajectory-explorer/public/data/assembled-trajectories/P09.json
P10,DataResearchMay15,datausa-clothing-workforce,clothing,True,supported,,12,12,trajectory-explorer/public/data/assembled-trajectories/P10.json
P11,ResearchAgentJan29,datausa-clothing-workforce,clothing,True,supported,,6,6,trajectory-explorer/public/data/assembled-trajectories/P11.json
P12,GrocerySequenceAgentApr27,datausa-grocery-workforce,grocery,True,supported,,15,15,trajectory-explorer/public/data/assembled-trajectories/P12.json
P13,GroceryAgentMar13X,datausa-grocery-workforce,grocery,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P13.json
P14,GrocerySequenceHelperAug14,datausa-grocery-workforce,grocery,True,supported,,3,3,trajectory-explorer/public/data/assembled-trajectories/P14.json
P15,AgentProbeAssistantX2027,datausa-grocery-workforce,grocery,True,supported,,22,22,trajectory-explorer/public/data/assembled-trajectories/P15.json
P16,GroceryWatcherJan31X,datausa-grocery-workforce,grocery,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P16.json
P17,ConstructionAgentMar08,datausa-construction-workforce-ny,construction_ny,True,supported,,15,15,trajectory-explorer/public/data/assembled-trajectories/P17.json
P18,Nov09ConstructionAgent,datausa-construction-workforce-ny,construction_ny,True,supported,,8,8,trajectory-explorer/public/data/assembled-trajectories/P18.json
P19,ConstructionAgentJun29,datausa-construction-workforce-ny,construction_ny,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P19.json
P20,AgentConstructionNYCATXFL20270603,datausa-construction-workforce-ny,construction_ny,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P20.json
P21,Nov08ConstructionAgent,datausa-construction-workforce-ny,construction_ny,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P21.json
P22,ChatGPTAug11,datausa-construction-workforce-ny,construction_ny,True,supported,,9,9,trajectory-explorer/public/data/assembled-trajectories/P22.json
P23,Dec30ConstructionAgent,datausa-construction-workforce-ny,construction_ny,True,supported,,5,5,trajectory-explorer/public/data/assembled-trajectories/P23.json
P24,Apr02ConstructionAgent,datausa-construction-workforce-ny,construction_ny,True,supported,,9,9,trajectory-explorer/public/data/assembled-trajectories/P24.json
P25,OpenAIResearchApr23,ihme-cvd-deaths,CVD,True,supported,,9,9,trajectory-explorer/public/data/assembled-trajectories/P25.json
P26,OpenAIResearchApr30,ihme-cvd-deaths,CVD,True,supported,,10,10,trajectory-explorer/public/data/assembled-trajectories/P26.json
P27,Sep24CVDScout,ihme-cvd-deaths,CVD,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P27.json
P28,OpenAIResearchOct02,ihme-cvd-deaths,CVD,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P28.json
P29,Aug24CVDScout,ihme-cvd-deaths,CVD,True,supported,,6,6,trajectory-explorer/public/data/assembled-trajectories/P29.json
P30,OpenAIJan18Scout,ihme-cvd-deaths,CVD,True,supported,,13,13,trajectory-explorer/public/data/assembled-trajectories/P30.json
P31,OpenAINov16CVD,ihme-cvd-deaths,CVD,True,supported,,8,8,trajectory-explorer/public/data/assembled-trajectories/P31.json
P32,May26CVDScout,ihme-cvd-deaths,CVD,True,supported,,3,3,trajectory-explorer/public/data/assembled-trajectories/P32.json
P33,Oct03CVDScout,ihme-cvd-deaths,CVD,True,supported,,7,7,trajectory-explorer/public/data/assembled-trajectories/P33.json
P34,OpenAINov28CVDLive,ihme-cvd-deaths,CVD,True,supported,,8,8,trajectory-explorer/public/data/assembled-trajectories/P34.json
P35,FPSequenceAgentMar31,ihme-family-planning,FP,True,supported,,2,2,trajectory-explorer/public/data/assembled-trajectories/P35.json
P36,OpenAIFPResearchSep05,ihme-family-planning,FP,True,supported,,15,15,trajectory-explorer/public/data/assembled-trajectories/P36.json
P37,OpenAIFPResearchNov28,ihme-family-planning,FP,True,supported,,1,1,trajectory-explorer/public/data/assembled-trajectories/P37.json
P38,OpenAINov27FP,ihme-family-planning,FP,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P38.json
P39,OpenAIJul20FPScout,ihme-family-planning,FP,True,supported,,6,6,trajectory-explorer/public/data/assembled-trajectories/P39.json
P40,OpenAIFeb07FPScout,ihme-family-planning,FP,True,supported,,5,5,trajectory-explorer/public/data/assembled-trajectories/P40.json
P41,March16ScoutB,oecd-preprimary-private-spending,OECD-equity,True,supported,,4,4,trajectory-explorer/public/data/assembled-trajectories/P41.json
P42,OpenAIDec04Equity,oecd-preprimary-private-spending,OECD-equity,True,supported,,6,6,trajectory-explorer/public/data/assembled-trajectories/P42.json
P43,Unsigned Aug21 OECD schedule (provisional),oecd-preprimary-private-spending,OECD-equity,False,provisional,,1,1,trajectory-explorer/public/data/assembled-trajectories/P43.json
P44,April11OECDScout,oecd-preprimary-private-spending,OECD-equity,True,supported,,21,21,trajectory-explorer/public/data/assembled-trajectories/P44.json
