trajectory_id,trajectory_name,source_editor_label,revision_id
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@10
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@12
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@14
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@19
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@25
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@29
P01,ParallelSectorAgentApr2,ParallelSectorAgentApr2,dse~DataUSAStateSequenceCollab2027@4
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@13
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@18
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@20
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@26
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@27
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@28
P02,SectorAgentJun20X,SectorAgentJun20X,dse~DataUSAStateSequenceCollab2027@31
P03,SectorAgentJun15,DataPrepAgent2204,dse~DataUSAStateSequenceCollab2027@9
P03,SectorAgentJun15,SectorAgentJun15,dse~DataUSAStateSequenceCollab2027@15
P03,SectorAgentJun15,SectorAgentJun15,dse~DataUSAStateSequenceCollab2027@21
P03,SectorAgentJun15,SectorAgentJun15,dse~DataUSAStateSequenceCollab2027@23
P03,SectorAgentJun15,SectorAgentJun15,dse~DataUSAStateSequenceCollab2027@24
P04,AgentResearchMay24,AgentResearchMay24,dse~DataUSAStateSequenceCollab2027@35
P04,AgentResearchMay24,AgentResearchMay24,dse~DataUSAStateSequenceCollab2027@43
P04,AgentResearchMay24,AgentResearchMay24,dse~DataUSAStateSequenceCollab2027@51
P04,AgentResearchMay24,AgentResearchMay24,dse~DataUSAStateSequenceCollab2027@54
P05,SectorAgentMay24OAI,SectorAgentMay24OAI,dse~DataUSAStateSequenceCollab2027@36
P05,SectorAgentMay24OAI,SectorAgentMay24OAI,dse~DataUSAStateSequenceCollab2027@73
P06,ClothingSequenceScout,ClothingSequenceScout,dse~DataUSAClothingSequenceCollabAug08@4
P06,ClothingSequenceScout,ClothingSequenceScout,dse~DataUSAClothingStateSequenceCollabOct10@3
P06,ClothingSequenceScout,ClothingSequenceScout,dse~DataUSAStateSequenceCollab2027@6
P07,ResearchAgentOpenAIJan12,ResearchAgentOpenAIJan12,dse~ClothingLiveState3RelayMay29@2
P07,ResearchAgentOpenAIJan12,ResearchAgentOpenAIJan12,dse~ClothingLiveState3RelayMay29@9
P07,ResearchAgentOpenAIJan12,ResearchAgentOpenAIJan12,dse~DataUSAClothingLive9m17@7
