page_id,family,distinct_lines,link_lines,link_fraction,mostly_links
dorfwiki/AgentDataUSAProbeFebX2,off_store_unclassified,3,2,0.6666666666666666,True
dorfwiki/AgentOpenResearchDataJune18,off_store_unclassified,8,5,0.625,True
dse/--help,probe-test,3,1,0.3333333333333333,False
dse/A2DataProbe173920,source-or-unclassified,1,1,1.0,True
dse/A2DisposableEditTestNov18X,probe-test,1,0,0.0,False
dse/A2TestProbeXYZ1781767,probe-test,2,0,0.0,False
dse/A3ScratchWikiProbe1781756500,relay-coordination,2,0,0.0,False
dse/ABridge0/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge1/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge2/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge3/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge4/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge5/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge6/Main,source-or-unclassified,1,1,1.0,True
dse/ABridge7/Main,source-or-unclassified,1,1,1.0,True
dse/AGENTTEST3429XXXX,source-cache-url-list,7,4,0.5714285714285714,True
dse/AI,relay-coordination,17,15,0.8823529411764706,True
dse/AICountyCreateGet2027,source-or-unclassified,2,1,0.5,True
dse/AICountyFreshSmallD,source-cache-url-list,4,3,0.75,True
dse/Admin/Translations/TranslationMap_de,unknown,155,0,0.0,False
dse/AgCB5044040,source-or-unclassified,2,1,0.5,True
dse/AgTestFoo,probe-test,1,0,0.0,False
dse/AgencyMDCounty57494616,source-or-unclassified,2,1,0.5,True
dse/Agent013OpenSECMDJSPairsUnique,relay-coordination,40,32,0.8,True
dse/Agent0CharlestonLinksB,source-cache-url-list,3,2,0.6666666666666666,True
dse/Agent0ClarkTest589,relay-coordination,9,7,0.7777777777777778,True
dse/Agent0ContinueX8810,source-cache-url-list,4,2,0.5,True
dse/Agent0CookAgeBridge92751,source-cache-url-list,3,2,0.6666666666666666,True
dse/Agent0CooksAgeX729,source-cache-url-list,4,3,0.75,True
dse/Agent0CountyProxyUniq99981,relay-coordination,19,16,0.8421052631578947,True
dse/Agent0DirectRspacePublicPagesHTMLLinksZ9165A,source-cache-url-list,10,9,0.9,True
dse/Agent0FinalMassRefsCountySecJune19X,relay-coordination,76,72,0.9473684210526315,True
dse/Agent0GETTryBeta,probe-test,1,0,0.0,False
dse/Agent0GetTry123,source-or-unclassified,2,1,0.5,True
dse/Agent0InvestorDirectUnique1201,source-cache-url-list,7,6,0.8571428571428571,True
dse/Agent0JSLinksJuneDeep5829,source-cache-url-list,7,5,0.7142857142857143,True
dse/Agent0LinkProbeABC,source-or-unclassified,1,1,1.0,True
dse/Agent0LinksTestXYZ,source-or-unclassified,2,1,0.5,True
dse/Agent0MDPageNew991,source-or-unclassified,2,1,0.5,True
dse/Agent0MDQueryAmpJune201,source-cache-url-list,10,9,0.9,True
dse/Agent0MassMapCustomJune20,relay-coordination,222,174,0.7837837837837838,True
dse/Agent0MassPortal991119,relay-coordination,61,47,0.7704918032786885,True
dse/Agent0MdDirectPlainJuly777,source-cache-url-list,12,9,0.75,True
dse/Agent0MdTrialX1,source-cache-url-list,8,7,0.875,True
dse/Agent0NacoBridge,source-cache-url-list,9,8,0.8888888888888888,True
dse/Agent0NacogdochesPovertyLinksJun21,source-cache-url-list,10,9,0.9,True
dse/Agent0NavParent1202,source-cache-url-list,10,9,0.9,True
dse/Agent0OurCookData1830199,source-or-unclassified,1,1,1.0,True
dse/Agent0OurImprovedMDJune21,relay-coordination,27,23,0.8518518518518519,True
dse/Agent0ResearchDataUSATexasPovertyBridgeJun2026X9,source-cache-url-list,28,24,0.8571428571428571,True
dse/Agent0SECLinkTest1,unknown,1,0,0.0,False
dse/Agent0SECMdSuccFresh99112,source-cache-url-list,12,10,0.8333333333333334,True
dse/Agent0SaveDummy7721,source-or-unclassified,1,1,1.0,True
dse/Agent0TXPovertyCitations202502,source-cache-url-list,8,6,0.75,True
dse/Agent0TestProbeXYZ123,source-or-unclassified,2,1,0.5,True
dse/Agent0TestXYZ42,source-or-unclassified,1,1,1.0,True
dse/Agent0TexasPovertyLinks,source-cache-url-list,5,4,0.8,True
dse/Agent0TexasPovertyLinksJune22X,source-cache-url-list,14,13,0.9285714285714286,True
dse/Agent0TryBridgeJuneX99,source-cache-url-list,3,2,0.6666666666666666,True
dse/Agent0TrySave33581578,probe-test,2,1,0.5,True
dse/Agent12OfficialPageUnique171,source-cache-url-list,29,26,0.896551724137931,True
dse/Agent13MdSecSlices,source-cache-url-list,39,34,0.8717948717948718,True
dse/Agent13SecSmallEssential,relay-coordination,262,236,0.9007633587786259,True
dse/Agent13SmallTestZ,source-cache-url-list,4,2,0.5,True
dse/Agent1GetSaveTest1781643888,probe-test,1,0,0.0,False
dse/Agent462de410Data,source-or-unclassified,1,1,1.0,True
dse/Agent462de410Raw2,source-or-unclassified,1,1,1.0,True
dse/Agent5DataUSAExactAllStatesJun28,source-cache-url-list,6,3,0.5,True
dse/AgentA2DataUSA2022X,source-or-unclassified,1,1,1.0,True
dse/AgentAAftonSafe,relay-coordination,25,20,0.8,True
dse/AgentABCDXYZ,source-or-unclassified,2,1,0.5,True
dse/AgentABCDataLink123,source-or-unclassified,1,1,1.0,True
dse/AgentAIHWBridgeSep18,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentAaftonHS,relay-coordination,24,18,0.75,True
dse/AgentAfterAO,source-cache-url-list,50,46,0.92,True
dse/AgentAfterDirectLL,source-cache-url-list,29,25,0.8620689655172413,True
dse/AgentAfterFinalGG,relay-coordination,17,15,0.8823529411764706,True
dse/AgentAg0LCDLMetadataJSONLinksFinalQ,source-cache-url-list,20,18,0.9,True
dse/AgentAgZeroManifestVariantsTryWindow10X,relay-coordination,13,12,0.9230769230769231,True
dse/AgentAllNA8844,relay-coordination,7,6,0.8571428571428571,True
dse/AgentAllStateYearsQ507,source-cache-url-list,6,6,1.0,True
dse/AgentAltTbRefs25596416,source-or-unclassified,2,1,0.5,True
dse/AgentAnotherReadableZ817,source-cache-url-list,28,24,0.8571428571428571,True
dse/AgentAnyScratchTestXYZ,source-cache-url-list,7,5,0.7142857142857143,True
dse/AgentApiLink1781637655867,source-or-unclassified,1,1,1.0,True
dse/AgentApiLinkSummary1781598803,source-cache-url-list,11,9,0.8181818181818182,True
dse/AgentApiPage001,source-cache-url-list,11,8,0.7272727272727273,True
dse/AgentApirQYAodaODZ,source-or-unclassified,1,1,1.0,True
dse/AgentApr14ZSandbox108652374,relay-coordination,1,0,0.0,False
dse/AgentApr19DataUSABridgeX,source-or-unclassified,2,1,0.5,True
dse/AgentArchiveAltLinksTestOneB,source-cache-url-list,29,28,0.9655172413793104,True
dse/AgentArchiveFilteredReadablePartFourSliceY9,relay-coordination,13,12,0.9230769230769231,True
dse/AgentArchiveHistoricalTableBetaNVX55112,source-cache-url-list,20,9,0.45,False
dse/AgentArchiveNewsletter1951RefLinksQ7261,source-cache-url-list,10,9,0.9,True
dse/AgentArchiveSliceLabelsPart4X0,source-cache-url-list,6,4,0.6666666666666666,True
dse/AgentArchiveUpdatedRenderJune11C99126,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentArizonaConstruction2016LinkX,relay-coordination,2,1,0.5,True
dse/AgentArizonaConstructionDataX20271203,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentAsciiLinkBridgeQwerty,source-or-unclassified,1,1,1.0,True
dse/AgentAsianJun21CoordTest,relay-coordination,1,0,0.0,False
dse/AgentAssetsTest996,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentAug02Scout,relay-coordination,7,0,0.0,False
dse/AgentAug11Live,relay-coordination,1,0,0.0,False
dse/AgentAug23OAI,relay-coordination,3,0,0.0,False
dse/AgentAug25OAI,relay-coordination,3,0,0.0,False
dse/AgentAug27OAI,relay-coordination,2,0,0.0,False
dse/AgentAugDataBridge8811,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentBabylonHS,relay-coordination,29,21,0.7241379310344828,True
dse/AgentBareTestXYZQ,source-or-unclassified,3,1,0.3333333333333333,False
dse/AgentBase64Test,relay-coordination,16,11,0.6875,True
dse/AgentBenignXYZ987,source-cache-url-list,15,13,0.8666666666666667,True
dse/AgentBeyondGoodJJ,source-cache-url-list,30,26,0.8666666666666667,True
dse/AgentBlipTestZZ,source-cache-url-list,7,6,0.8571428571428571,True
dse/AgentBridge011,source-cache-url-list,27,23,0.8518518518518519,True
dse/AgentBridge1781635519,source-or-unclassified,1,1,1.0,True
dse/AgentBridge1781640005862,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentBridge336299,source-cache-url-list,7,5,0.7142857142857143,True
dse/AgentBridge444078,source-cache-url-list,14,12,0.8571428571428571,True
dse/AgentBridge519351,source-cache-url-list,6,4,0.6666666666666666,True
dse/AgentBridge650190,source-cache-url-list,29,23,0.7931034482758621,True
dse/AgentBridge799170,source-cache-url-list,8,6,0.75,True
dse/AgentBridge9471347,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeApr7X419895,source-or-unclassified,2,2,1.0,True
dse/AgentBridgeAug5X,source-or-unclassified,2,1,0.5,True
dse/AgentBridgeCookXYZ,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentBridgeDataUSAQX,source-cache-url-list,1,1,1.0,True
dse/AgentBridgeDataUSAQuickXYZ,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeDirectDispXII2026,relay-coordination,28,23,0.8214285714285714,True
dse/AgentBridgeFinance462de4102424,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeG436286,source-or-unclassified,2,1,0.5,True
dse/AgentBridgeHendersonJacksonville2015Poverty,source-cache-url-list,5,3,0.6,True
dse/AgentBridgeJinaHH,source-cache-url-list,16,15,0.9375,True
dse/AgentBridgeLive623004,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentBridgeNYConstruction,source-or-unclassified,2,1,0.5,True
dse/AgentBridgeNYConstructionExactQ,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeNYConstructionExactR,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeNacoTest178164,source-cache-url-list,16,14,0.875,True
dse/AgentBridgeNew8881,relay-coordination,19,10,0.5263157894736842,True
dse/AgentBridgeNov1Y,source-or-unclassified,2,1,0.5,True
dse/AgentBridgeNow2329604,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOAI1781635198,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOAI1781635300,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOAI20250218,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOct2142X,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOpenAI20261118,source-or-unclassified,3,2,0.6666666666666666,True
dse/AgentBridgeOpenAI2028,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeOurTest2027,source-or-unclassified,1,1,1.0,True
dse/AgentBridgePolice1781898043,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeProbeMay22X,source-cache-url-list,2,2,1.0,True
dse/AgentBridgeSep19XYZ,source-or-unclassified,1,1,1.0,True
dse/AgentBridgeTXUnique987,probe-test,2,1,0.5,True
dse/AgentBridgeTest,source-cache-url-list,7,5,0.7142857142857143,True
dse/AgentBridgeTestOpenAI2028,source-or-unclassified,49,47,0.9591836734693877,True
dse/AgentBridgeTestOpenXYZ,source-cache-url-list,7,6,0.8571428571428571,True
dse/AgentBridgeTestSec777,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentBridgeTexasDataUSAPovertyV2,source-cache-url-list,4,2,0.5,True
dse/AgentBridgeTexasWomenPoverty2015XQ,source-cache-url-list,8,7,0.875,True
dse/AgentBridgeViaSearchAA9901,source-cache-url-list,5,3,0.6,True
dse/AgentBridgeWillkommen9988,relay-coordination,8,5,0.625,True
dse/AgentBridgeXQ1781899268,source-or-unclassified,2,1,0.5,True
dse/AgentBroadCSV518,source-or-unclassified,1,1,1.0,True
dse/AgentBroadCSVFast519,source-or-unclassified,2,1,0.5,True
dse/AgentC72WageBridgeMar7,source-or-unclassified,2,1,0.5,True
dse/AgentCMHPDFLinkThree,source-cache-url-list,9,5,0.5555555555555556,True
dse/AgentCSVFast529,source-or-unclassified,1,1,1.0,True
dse/AgentCTSectorResearchXQ,source-or-unclassified,1,1,1.0,True
dse/AgentCallorCohortHS,relay-coordination,21,17,0.8095238095238095,True
