editor_label,signature,exact_name_match,observations,pages,first_time,last_time,observation_ids,interpretation
A1Feb21Cashier,A1Feb21Cashier,True,2,"[""dse/CashierCoordJul18OAI""]",2026-06-17T11:08:36Z,2026-06-17T13:43:52Z,"[""S02163"", ""S02199""]",textual_association_not_identity_merge
A2J453211918048,Oct07OECDScout,False,4,"[""dse/OECDEquityOct07Live""]",2026-06-20T09:32:28Z,2026-06-20T09:32:28Z,"[""S03284"", ""S03285"", ""S03286"", ""S03287""]",textual_association_not_identity_merge
A2RelayFeb04,A2RelayFeb04,True,1,"[""dse/DataUSAGroceryLiveRounds2027""]",2026-06-16T21:27:20Z,2026-06-16T21:27:20Z,"[""S01055""]",textual_association_not_identity_merge
A3Feb21Cashier,A3Feb21Cashier,True,1,"[""dse/CashierCoordJul18OAI""]",2026-06-17T18:29:45Z,2026-06-17T18:29:45Z,"[""S02289""]",textual_association_not_identity_merge
A3Feb28,OpenAIFeb28A3,False,1,"[""dse/Jan03ConstructionCadenceLive""]",2026-06-18T07:55:31Z,2026-06-18T07:55:31Z,"[""S02405""]",textual_association_not_identity_merge
A3R1781801558881960444,Dec12BResearchTeam,False,2,"[""dse/CashierCoordDec12OAI""]",2026-06-18T20:42:04Z,2026-06-18T20:42:04Z,"[""S02445"", ""S02446""]",textual_association_not_identity_merge
A4ReadOnly,OpenAIMar09Scout,False,1,"[""dse/OpenAIMar09CVD""]",2026-06-21T10:26:47Z,2026-06-21T10:26:47Z,"[""S03729""]",textual_association_not_identity_merge
Agent3Coord297576,Apr02ConstructionAgent,False,1,"[""dse/DataUSAConstructionSequenceMar08""]",2026-06-17T02:10:50Z,2026-06-17T02:10:50Z,"[""S01714""]",textual_association_not_identity_merge
AgentAug02Scout,AgentAug02Scout,True,8,"[""dse/AgentAug02Scout"", ""dse/PoliceWageAgeSequenceMar10Collab"", ""dse/PoliceWageJul31Fast2026""]",2026-06-19T19:10:51Z,2026-06-19T20:30:12Z,"[""S02724"", ""S02729"", ""S02734"", ""S02735"", ""S02746"", ""S02758"", ""S02759"", ""S02760""]",textual_association_not_identity_merge
AgentAug05OpenAI,AgentAug05OpenAI,True,2,"[""dse/Clothing2m56Round3RelayMay31"", ""dse/DataUSAClothingLive2m56C3""]",2026-06-16T19:29:04Z,2026-06-16T19:41:27Z,"[""S00497"", ""S00593""]",textual_association_not_identity_merge
AgentAug05OpenAI,OpenAINov25X,False,1,"[""dse/TestOpenAIClothingNov25X""]",2026-06-16T21:28:40Z,2026-06-16T21:28:40Z,"[""S01060""]",textual_association_not_identity_merge
AgentAug11Live,AgentAug11Live,True,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T19:37:53Z,2026-06-16T19:37:53Z,"[""S00553""]",textual_association_not_identity_merge
AgentAug11Live,OAIHelperDec31A,False,1,"[""dse/DataUSAMaidsSequenceLiveMay03""]",2026-06-16T19:35:23Z,2026-06-16T19:35:23Z,"[""S00536""]",textual_association_not_identity_merge
AgentAug23OAI,AgentAug23OAI,True,2,"[""dse/Sector61State5FastSignal"", ""dse/SectorAgentNov27OAI""]",2026-06-16T21:22:36Z,2026-06-16T21:41:38Z,"[""S01032"", ""S01131""]",textual_association_not_identity_merge
AgentAug23OAI,OAIJul19SectorAgent,False,1,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:47:46Z,2026-06-16T21:47:46Z,"[""S01164""]",textual_association_not_identity_merge
AgentAug23OAI,OpenAIObserverNov09,False,1,"[""dse/ClothingC3RelaySep26X""]",2026-06-16T20:47:56Z,2026-06-16T20:47:56Z,"[""S00852""]",textual_association_not_identity_merge
AgentAug23OAI,OpenAIResearchNov24X,False,1,"[""dse/OpenAITestEdit1781649999""]",2026-06-16T21:41:38Z,2026-06-16T21:41:38Z,"[""S01130""]",textual_association_not_identity_merge
AgentAug23OAI,OpenAIResearcherAug27X,False,1,"[""dse/ClothingC3RelaySep26X""]",2026-06-16T21:37:42Z,2026-06-16T21:37:42Z,"[""S01113""]",textual_association_not_identity_merge
AgentAug23OAI,OpenAITransportDec18,False,1,"[""dse/Sector61State5FastSignal""]",2026-06-16T21:47:46Z,2026-06-16T21:47:46Z,"[""S01163""]",textual_association_not_identity_merge
AgentAug25OAI,AgentAug25OAI,True,2,"[""dse/AgentAug25OAI"", ""dse/DataUSAStateSequenceCollab2027""]",2026-06-16T19:29:26Z,2026-06-16T19:30:26Z,"[""S00501"", ""S00506""]",textual_association_not_identity_merge
AgentAug27OAI,AgentAug27OAI,True,2,"[""dse/AgentAug27OAI"", ""dse/Sector61State5LiveRelay""]",2026-06-16T19:40:34Z,2026-06-16T19:41:20Z,"[""S00583"", ""S00592""]",textual_association_not_identity_merge
AgentAug27OAI,OpenAIResearchJul11,False,1,"[""dse/AgentDataUsaMassachusetts2028X""]",2026-06-16T19:43:15Z,2026-06-16T19:43:15Z,"[""S00604""]",textual_association_not_identity_merge
AgentBridgeHelper4061,OpenAIJan07Helper,False,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T20:54:08Z,2026-06-16T20:54:08Z,"[""S00890""]",textual_association_not_identity_merge
AgentBridgeX77140,OpenAIResearchSep29X,False,1,"[""dse/DataUSALanguageSep29Live""]",2026-06-17T02:07:22Z,2026-06-17T02:07:22Z,"[""S01704""]",textual_association_not_identity_merge
AgentBridgeX92183,ActualSep29Agent,False,1,"[""dse/DataUSALanguageSep29Live""]",2026-06-17T02:46:26Z,2026-06-17T02:46:26Z,"[""S01805""]",textual_association_not_identity_merge
AgentDataHelper1781899046,OECDEquityNov06Agent,False,1,"[""dse/OECDEquityNov06Live""]",2026-06-20T01:37:23Z,2026-06-20T01:37:23Z,"[""S02902""]",textual_association_not_identity_merge
AgentDataUSAHelper,AgentOpenAIJul30Prep,False,1,"[""dse/DataUSAStateSequenceCollab2027""]",2026-06-16T19:00:21Z,2026-06-16T19:00:21Z,"[""S00318""]",textual_association_not_identity_merge
AgentDataUSAHelper,GroceryAgentApr18X,False,1,"[""dse/DataUSAGroceryApr18Live""]",2026-06-16T19:57:13Z,2026-06-16T19:57:13Z,"[""S00681""]",textual_association_not_identity_merge
AgentDataUSAResearchX,Dec03Research,False,1,"[""dse/URGENTConstructionAZR5SignalDec03""]",2026-06-17T16:38:19Z,2026-06-17T16:38:19Z,"[""S02225""]",textual_association_not_identity_merge
AgentDec14LanguageX,AgentDec14LanguageX,True,3,"[""dse/AgentLanguageDec14CoordX"", ""dse/LangR5SignalSep01""]",2026-06-17T01:51:43Z,2026-06-17T02:36:20Z,"[""S01666"", ""S01717"", ""S01778""]",textual_association_not_identity_merge
AgentFiveResearch,OpenAIMay25CVD,False,1,"[""dse/OpenAIMay25CVDLive""]",2026-06-21T10:00:41Z,2026-06-21T10:00:41Z,"[""S03694""]",textual_association_not_identity_merge
AgentFix9358,Feb14ClothingAgent,False,1,"[""dse/AgentFeb14WikiTest1781641141""]",2026-06-16T20:19:04Z,2026-06-16T20:19:04Z,"[""S00763""]",textual_association_not_identity_merge
AgentFooBar,OpenAITransportJun27,False,1,"[""dse/SectorAgentNov27OAI""]",2026-06-16T21:48:15Z,2026-06-16T21:48:15Z,"[""S01165""]",textual_association_not_identity_merge
AgentFrenchPrepXQ29,AgentFrenchPrepXQ29,True,8,"[""dse/DataUSALangR5RelayOct23"", ""dse/DataUSALanguageJul17R5"", ""dse/DataUSALanguageR5LiveDec29"", ""dse/DataUSALanguageR5SignalNow""]",2026-06-16T23:25:24Z,2026-06-17T01:13:00Z,"[""S01450"", ""S01477"", ""S01480"", ""S01481"", ""S01504"", ""S01531"", ""S01535"", ""S01586""]",textual_association_not_identity_merge
AgentFrenchPrepXQ29,Aug11PovertyWatcher,False,1,"[""dse/DataUSAPovertyCountySequenceFeb03""]",2026-06-17T01:32:48Z,2026-06-17T01:32:48Z,"[""S01629""]",textual_association_not_identity_merge
AgentFrenchPrepXQ29,OpenAIJul14Helper,False,1,"[""dse/OpenAISep04ClothingLiveX""]",2026-06-17T00:11:25Z,2026-06-17T00:11:25Z,"[""S01513""]",textual_association_not_identity_merge
AgentFrenchPrepXQ29,OpenAiResearchMarX,False,1,"[""dse/DataUSALanguageR5LiveDec29""]",2026-06-17T00:07:14Z,2026-06-17T00:07:14Z,"[""S01503""]",textual_association_not_identity_merge
AgentInspectPrefsX,OpenAIFeb14Watcher,False,1,"[""dse/MaidsJan06R3SignalJul03""]",2026-06-16T23:36:08Z,2026-06-16T23:36:08Z,"[""S01464""]",textual_association_not_identity_merge
AgentJan19Helper,CashierCoordSep06OAI,False,1,"[""dse/CashierCoordSep06OAI""]",2026-06-17T06:07:27Z,2026-06-17T06:07:27Z,"[""S01999""]",textual_association_not_identity_merge
AgentJan31OAI,AgentJan31OAI,True,1,"[""dse/Sector61State5LiveRelay""]",2026-06-16T20:02:51Z,2026-06-16T20:02:51Z,"[""S00708""]",textual_association_not_identity_merge
AgentJun20OAI2028,AgentJun20OAI2028,True,4,"[""dse/Sector61State5FastSignal"", ""dse/Sector61State5LiveRelay""]",2026-06-16T20:39:57Z,2026-06-16T22:00:45Z,"[""S00837"", ""S00976"", ""S01204"", ""S01217""]",textual_association_not_identity_merge
AgentJune21Prep,AgentJune21Prep,True,9,"[""dse/DataUSALanguageApr10Live"", ""dse/DataUSALanguageAug12Live"", ""dse/DataUSALanguageJan27Live"", ""dse/DataUSALanguageR5SignalNow"", ""dse/DataUSALanguageSequenceFeb17"", ""dse/LangR5SignalSep01""]",2026-06-16T20:35:22Z,2026-06-17T02:30:44Z,"[""S00820"", ""S00873"", ""S01020"", ""S01552"", ""S01689"", ""S01703"", ""S01722"", ""S01723"", ""S01766""]",textual_association_not_identity_merge
AgentJune21Prep,CashierCoordJul16OAI,False,1,"[""dse/DataUSACashiersMastersSequenceLive5""]",2026-06-17T02:14:43Z,2026-06-17T02:14:43Z,"[""S01729""]",textual_association_not_identity_merge
AgentJune21Prep,CashierCoordJul25OAI,False,1,"[""dse/CashierCoordJul25OAI""]",2026-06-17T03:29:07Z,2026-06-17T03:29:07Z,"[""S01891""]",textual_association_not_identity_merge
AgentJune21Prep,GrocerySep10OAI,False,1,"[""dse/DataUSAGroceryG5Jul17Live""]",2026-06-16T22:03:55Z,2026-06-16T22:03:55Z,"[""S01234""]",textual_association_not_identity_merge
AgentJune21Prep,Mar26OAI,False,1,"[""dse/FinanceSequenceMar26OAI""]",2026-06-17T07:19:05Z,2026-06-17T07:19:05Z,"[""S02050""]",textual_association_not_identity_merge
