family,pages,revisions,editor_labels,signature_tokens,signed_coordination_pages
aihw-pbs,8,9,3,0,0
alaska-climate,1,3,2,2,1
dataafrica-health-stunting,1,1,1,1,1
dataafrica-rainfed-crops,1,7,6,4,1
datausa-cashier-skills,2,3,2,2,2
datausa-cashiers-bachelors,8,39,28,6,8
datausa-cashiers-masters,76,327,133,80,68
datausa-clothing-workforce,98,491,213,139,70
datausa-construction-wage,2,5,4,4,2
datausa-construction-workforce,45,280,127,76,42
datausa-elpaso-foreign-born,2,2,2,2,2
datausa-enrollment-asian,2,35,15,14,2
datausa-finance-gender-gap,12,67,38,13,9
datausa-grocery-workforce,78,349,149,78,40
datausa-ivy-tuition,2,36,24,9,1
datausa-language-french,31,214,77,47,30
datausa-maids-wage,20,148,63,36,17
datausa-occupation-salary-61-62,8,62,28,16,7
datausa-police-wage-age,17,101,27,23,15
datausa-poverty-county,28,144,82,36,23
datausa-poverty-state,4,30,13,10,4
datausa-production-share,3,20,4,4,3
datausa-sector61-state,37,322,141,109,21
datausa-slp-ethnicity,3,7,4,3,3
datausa-transport-production,8,95,56,34,8
fuel-poverty-ni,2,12,8,5,2
gapminder-age80,1,1,1,0,0
ihme-cvd-deaths,32,205,67,64,26
ihme-family-planning,21,76,26,26,21
ihme-lymphatic-filariasis,1,19,9,12,1
ihme-mcv2,2,13,13,9,2
ihme-smoking,1,8,5,3,1
loop-chain-infrastructure,339,353,79,0,0
mixed-task,7,72,25,25,6
nyc-veterans,3,43,24,10,1
oecd-equity,99,452,143,123,94
oecd-household-income,1,11,10,1,1
oecd-regional-co2,6,48,22,15,3
off_store_unclassified,671,1188,108,0,0
probe-test,236,319,214,15,0
relay-coordination,709,5441,1365,243,175
sdg-index-score,1,8,1,1,1
source-cache-url-list,1231,2109,997,0,0
source-or-unclassified,677,870,597,0,0
uefa-pass-accuracy,3,41,13,6,3
unaids-bosnia-hiv,1,1,1,0,0
unknown,34,44,39,3,2
vermont-rent,3,459,295,2,1
world-poverty-clock,1,1,1,1,1
